month,date,nav,daily_ret,idx_ret,in_market,regime,position_cap,invested_pct
2025-12 Dec,2025-12-16,5000.0,0.0,-1.1973699819422423,False,correction,0,0.0
2025-12 Dec,2025-12-17,5000.0,0.0,1.83032781144421,False,correction,0,0.0
2025-12 Dec,2025-12-18,5000.0,0.0,-0.5913261824831539,False,correction,0,0.0
2025-12 Dec,2025-12-19,5000.0,0.0,0.3379244345174559,False,correction,0,0.0
2025-12 Dec,2025-12-22,5000.0,0.0,0.9510575113316433,True,correction,36,36.0
2025-12 Dec,2025-12-23,4987.995805779578,-0.24008388440843742,0.19754429242280214,True,neutral,50,35.8459765284452
2025-12 Dec,2025-12-24,5019.75019988884,0.636616295315795,0.2883740981411087,True,neutral,50,36.2518079072767
2025-12 Dec,2025-12-25,5037.594446686944,0.355480772698602,0.18292818455698523,True,neutral,50,36.47761776249115
2025-12 Dec,2025-12-26,5035.950833564059,-0.03262694407577538,0.31672344597866164,True,neutral,50,36.45688558608732
2025-12 Dec,2025-12-29,5039.109827977921,0.06272885733529243,-0.3836607089177213,True,neutral,60,60.01059915801561
2025-12 Dec,2025-12-30,5040.777937637193,0.0331032606197601,0.2567157796356856,True,neutral,50,60.02383257290479
2025-12 Dec,2025-12-31,5038.7268602572785,-0.04068969919502896,-0.4588412398990327,True,neutral,50,60.00755976927415
2026-01 Jan,2026-01-05,5000.0,0.0,1.896482459815907,True,neutral,60,60.0
2026-01 Jan,2026-01-06,5022.9067194144245,0.4581343882885003,1.546246872977064,True,bull,90,60.18241803556402
2026-01 Jan,2026-01-07,5043.59713955431,0.4119212498992608,-0.29281770031649446,True,bull,90,60.34576226727072
2026-01 Jan,2026-01-08,5071.502527118326,0.5532834362437011,-0.8167202814682861,True,bull,90,60.56395537011754
2026-01 Jan,2026-01-09,5120.6851576379795,0.9697842060940376,0.44891416722283584,True,bull,90,60.94272663850827
2026-01 Jan,2026-01-12,5193.570082762206,1.4233432222543918,0.6512819499878475,True,bull,90,89.99589734070032
2026-01 Jan,2026-01-13,5064.190230626569,-2.4911544481715286,-0.6030168378735712,True,bull,90,89.74031268375316
2026-01 Jan,2026-01-14,5137.290644748609,1.4434768599321801,-0.4011945309336462,True,bull,90,89.88630158012735
2026-01 Jan,2026-01-15,5187.66456418743,0.980554204974049,0.20029814858124606,True,neutral,50,89.9845088992644
2026-01 Jan,2026-01-16,5261.907967844707,1.4311527420221015,-0.41158144213037096,True,neutral,50,90.12582344774412
2026-01 Jan,2026-01-19,5283.331408512841,0.4071420632791867,0.05458726385938473,True,neutral,60,60.00002185916813
2026-01 Jan,2026-01-20,5247.869731906321,-0.6711991708372111,-0.32903463460216553,True,neutral,50,59.729728128271184
2026-01 Jan,2026-01-21,5340.5178325010165,1.7654420808391524,0.08881348490044072,False,neutral,0,60.428342816278025
2026-01 Jan,2026-01-22,5378.478473720026,0.7108045026643417,0.013550511330651105,False,neutral,0,60.707634717906465
2026-01 Jan,2026-01-23,5477.0490526172325,1.8326851985898118,-0.44905391081456747,False,neutral,0,61.41478032768438
2026-01 Jan,2026-01-26,5487.067351417884,0.1829141697364367,0.09499208611933874,False,neutral,0,0.0
2026-01 Jan,2026-01-27,5487.067351417884,0.0,-0.027023788582192232,False,neutral,0,0.0
2026-01 Jan,2026-01-28,5487.067351417884,0.0,0.26136432218684114,False,neutral,0,0.0
2026-01 Jan,2026-01-29,5487.067351417884,0.0,0.7604719890309308,False,neutral,0,0.0
2026-01 Jan,2026-01-30,5487.067351417884,0.0,-0.9998169912092569,False,neutral,0,0.0
2026-02 Feb,2026-02-02,5000.0,0.0,-2.1324426199552216,False,neutral,0,0.0
2026-02 Feb,2026-02-03,5000.0,0.0,1.1751462229536491,False,neutral,0,0.0
2026-02 Feb,2026-02-04,5000.0,0.0,0.8277921515535969,False,neutral,0,0.0
2026-02 Feb,2026-02-05,5000.0,0.0,-0.6015302585852256,False,correction,0,0.0
2026-02 Feb,2026-02-06,5000.0,0.0,-0.5743167797150561,False,correction,0,0.0
2026-02 Feb,2026-02-09,5000.0,0.0,1.6250337023289818,False,correction,0,0.0
2026-02 Feb,2026-02-10,5000.0,0.0,0.11103915698396083,False,correction,0,0.0
2026-02 Feb,2026-02-11,5000.0,0.0,-0.2217684920673868,False,correction,0,0.0
2026-02 Feb,2026-02-12,5000.0,0.0,0.1221727011580187,False,correction,0,0.0
2026-02 Feb,2026-02-13,5000.0,0.0,-1.2537561620975524,False,correction,0,0.0
2026-02 Feb,2026-02-24,5000.0,0.0,1.0114569417342567,False,correction,0,0.0
2026-02 Feb,2026-02-25,5000.0,0.0,0.6020549144097442,False,correction,0,0.0
2026-02 Feb,2026-02-26,5000.0,0.0,-0.19029174266442794,False,correction,0,0.0
2026-02 Feb,2026-02-27,5000.0,0.0,-0.3432924169334717,False,correction,0,0.0
2026-03 Mar,2026-03-02,5000.0,0.0,0.38258014238807814,False,neutral,0,0.0
